sample,fastq_1,fastq_2,replicate
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_1_MMG10447_S30_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_1_MMG10447_S30_R2_001.fastq.gz,1
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_2_MMG10447_S39_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_2_MMG10447_S39_R2_001.fastq.gz,1
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_day0_MMG10447_S18_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_day0_MMG10447_S18_R2_001.fastq.gz,2
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_day0_MMG10447_S12_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_day0_MMG10447_S12_R2_001.fastq.gz,3
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_day0_MMG10447_S24_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_day0_MMG10447_S24_R2_001.fastq.gz,4
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_24h_MMG10447_S19_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_24h_MMG10447_S19_R2_001.fastq.gz,1
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_24h_MMG10447_S13_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_24h_MMG10447_S13_R2_001.fastq.gz,2
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_24h_MMG10447_S25_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_24h_MMG10447_S25_R2_001.fastq.gz,3
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_1_MMG10447_S33_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_1_MMG10447_S33_R2_001.fastq.gz,1
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_2_MMG10447_S42_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_2_MMG10447_S42_R2_001.fastq.gz,1
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_BCR_24h_MMG10447_S21_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_BCR_24h_MMG10447_S21_R2_001.fastq.gz,2
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_BCR_24h_MMG10447_S15_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_BCR_24h_MMG10447_S15_R2_001.fastq.gz,3
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_BCR_24h_MMG10447_S27_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_BCR_24h_MMG10447_S27_R2_001.fastq.gz,4
BCR_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_1_MMG10447_S34_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_1_MMG10447_S34_R2_001.fastq.gz,1
