dataset	cell_type	genes	p	p.adjust	absdpsi
scharer	aN	FIG4	2.3048563729795302e-9	4.64198073518078e-6	0.164081433953608
scharer	aN	HADHB	5.8950992076109205e-9	5.9363649020642e-6	0.207105460263316
scharer	aN	PCIF1	4.01845968994847e-8	2.69772593851874e-5	0.227106064503135
scharer	aN	PABPC4	1.02522481469388e-7	5.1620069419837e-5	0.173717120422168
scharer	aN	AARSD1,PTGES3L-AARSD1	1.37941539769282e-7	5.55628522190669e-5	0.269800331363512
scharer	aN	USP25	5.96298933008337e-7	2.0015767517979e-4	0.147510578355442
scharer	aN	SNX5	7.65035019087094e-7	2.2011150406305e-4	0.289390053058934
scharer	aN	IDH3A	9.34873477840391e-7	2.3535439804631e-4	0.165935363208653
scharer	aN	AP1G2	1.23568419602339e-6	2.3932398457596e-4	0.333496298884699
scharer	aN	CD47	1.37842282738142e-6	2.3932398457596e-4	0.293563555645744
scharer	aN	SRSF4	1.39434064890781e-6	2.3932398457596e-4	0.481330487222318
scharer	aN	PDIA6	1.42596217225004e-6	2.3932398457596e-4	0.195651167482838
scharer	aN	RAB10	1.78234135410259e-6	2.7077946431942e-4	0.458905141157135
scharer	aN	TMEM156	1.88228028821843e-6	2.7077946431942e-4	0.439437539312176
scharer	aN	ILKAP	2.4555163889002e-6	3.0886162555724e-4	0.211850127776485
scharer	aN	PTCD3	2.69696734888342e-6	3.0886162555724e-4	0.168650958404777
scharer	aN	ARPP19	2.72111641568964e-6	3.0886162555724e-4	0.44872871740971
scharer	aN	RP11-468E2.4,IRF9	2.76043160875391e-6	3.0886162555724e-4	0.138057887451294
scharer	aN	PICALM	4.37797076182232e-6	4.6406490075316e-4	0.344275239125399
scharer	aN	PTPN2	4.84723972492871e-6	4.7987700433513e-4	0.389521354358788
scharer	aN	RUBCNL	5.00368276615579e-6	4.7987700433513e-4	0.459171226125315
scharer	aN	DHX9	5.27828129263627e-6	4.8320266015315e-4	0.373877687644168
scharer	aN	HIRA,C22orf39	7.03120668039739e-6	6.1568914149218e-4	0.224464690682338
scharer	aN	EIF4A2	9.01529410785172e-6	7.2457045372616e-4	0.301327995157766
scharer	aN	FIG4	9.0962677934283e-6	7.2457045372616e-4	0.268893898045152
scharer	aN	SRSF7	9.35393833012921e-6	7.2457045372616e-4	0.365175101670666
scharer	aN	HNRNPA2B1	1.07344657172945e-5	8.007116279493e-4	0.0830534905341288
scharer	aN	TUT7	1.18848075521248e-5	8.5485722892783e-4	0.440816511807075
scharer	aN	IDI1	1.25922697996887e-5	8.7451142677837e-4	0.114655275170207
scharer	aN	KMT2E	1.82589372804664e-5	0.00119777084192878	0.183293020921593
scharer	aN	POLR1H	1.84363932968183e-5	0.00119777084192878	0.265462761136292
scharer	aN	RBM38	2.1070973769694e-5	0.00121634029263687	0.0938027125181189
scharer	aN	ADRM1	2.12797624123786e-5	0.00121634029263687	0.184845806400483
scharer	aN	BLOC1S6,RP11-96O20.4	2.15057340562235e-5	0.00121634029263687	0.277715287209463
scharer	aN	HNRNPA3	2.1527202889394e-5	0.00121634029263687	0.418626254342901
scharer	aN	BPTF	2.2088834266692498e-05	0.00121634029263687	0.372330076587406
scharer	aN	ABI1	2.24683398826928e-5	0.00121634029263687	0.278770118279186
scharer	aN	PCM1	2.40497756592634e-5	0.00121634029263687	0.300326379701056
scharer	aN	PMPCB	2.42658841957426e-5	0.00121634029263687	0.0972227073020934
scharer	aN	PARP15	2.43864216698941e-5	0.00121634029263687	0.310985674469113
scharer	aN	SON	2.47616444876423e-5	0.00121634029263687	0.10782761453703
scharer	aN	UTP6	2.67828038529316e-5	0.00127001378619023	0.185102074285758
scharer	aN	BLK	2.72139841993885e-5	0.00127001378619023	0.154412954494737
scharer	aN	FAM126A	2.77460807310676e-5	0.00127001378619023	0.347675301965713
scharer	aN	RABGAP1L	2.91560715265635e-5	0.00128398275354371	0.18679531777974
scharer	aN	DNAJA2	2.98414986175345e-5	0.00128398275354371	0.296619660667632
scharer	aN	APMAP	2.99638477738602e-5	0.00128398275354371	0.148535568188369
scharer	aN	SDCCAG8	3.26660838780959e-5	0.00137061443605178	0.498700328920077
scharer	aN	SMCHD1	3.94129746688791e-5	0.00161995369353311	0.110842297424205
scharer	aN	PHKB	4.24176229507858e-5	0.00167915885319079	0.213004917106351
